외식업종별,2018년 1분기,2018년 2분기,2018년 3분기,2018년 4분기,2019년 1분기,2019년 2분기,2019년 3분기,2019년 4분기,2020년 1분기,2020년 2분기,2020년 3분기,2020년 4분기,2021년 1분기,2021년 2분기,2021년 3분기
전체소계,74.81,73.94,72.6,69.51,71.77,70.67,71.47,71.44,59.76,64.11,61.21,59.33,67.26,69.84,65.72
한식소계,73.02,72.13,70.2,67.63,69.11,69.23,69.52,70.1,59.33,63.78,61.14,57.26,67.35,69.12,63.84
한식 일반 음식점업,74.1,72.45,70.52,69.6,69.08,68.11,69.97,70.95,58.96,60.21,59.41,55.49,67.2,68.03,65.14
한식 면요리 전문점,79.55,78.33,81.34,72.22,74.11,76.2,74.14,70.36,61.28,70.71,65.41,59.77,64.67,66.3,65.62
한식 육류요리 전문점,69.42,70.96,69.79,64.79,69.06,70.08,69.15,70.49,60.12,66.67,64.38,60.71,69.11,73.22,60.55
한식 해산물요리 전문점,71.26,69.29,63.04,60.84,64.77,64.64,64.75,67.05,57.43,64.44,57.87,56.47,65.94,68.03,62.36
외국 전체 소계,80.08,75.49,74.35,72.63,74.46,75,75.71,75.06,60.68,67.54,63.18,62,70.71,73.71,69.6
중식 음식점업,73.45,73.96,73.1,66.84,73.2,70.72,71.45,71.01,63.89,73.61,66.37,65.62,65.47,69.97,65.11
일식 음식점업,79.91,75.45,71.13,75.87,74.51,75.25,70.56,71.29,57.88,65.37,62.62,60.06,74.41,75.47,70.42
서양식 음식점업,82.93,78.8,79.61,80.38,76.47,79.37,83.49,82.14,62.37,66.43,62.08,61.13,76.89,74.63,74.18
기타 외국식 음식점업,96.93,75.5,75.64,73.37,74.17,77.08,82.59,80,55.26,57.35,59.23,56.67,70.51,84.83,77.54
구내식당업 소계,82.8,84.68,80.07,77,81.89,78.45,81.7,81.04,72.5,66.12,71.95,75.25,81.1,82.27,80.69
출장음식 소계,69.89,72.73,71.74,65,71.95,72.92,72.37,68.37,55.11,58.33,57.64,52.27,60.76,67.26,74.24
간이음식점 소계,76.17,77.19,76.09,72.07,74.07,72.74,74.06,73.64,64.43,68.25,64.67,63.71,69.48,73.8,70.34
제과점업,81.25,77.95,80.32,76.99,82.66,77.73,75.58,75.42,66.32,68.8,64.9,64.08,76.52,79.84,73.13
피자 햄버거 샌드위치 및 유사 음식점업,80.22,78.94,83.84,79.34,77.13,76.85,81.64,83.87,71.98,78.57,69.83,71.82,74.97,78.71,76.67
치킨 전문점,73.58,79.9,70.79,63.42,70.19,69.73,71.03,69.86,68.79,67.53,68.17,66.91,62.99,69.84,68.64
김밥 및 기타 간이 음식점업,72.54,73.24,74.9,73.35,70.43,69.92,71.45,69.84,58.56,65.26,61.58,59.26,70.04,72.33,68.43
간이 음식 포장 판매 전문점,78.5,77.04,79.84,74.22,74.06,70.98,72.22,72.22,54.46,60.29,56.71,56.51,63.61,71.76,65.18
주점 소계,60.27,61.82,60.35,59.64,64.11,59.62,64.34,63.53,52.68,56.68,54.25,52.13,57.89,59.64,56.79
일반 유흥 주점업,60.21,61.46,59.02,59.56,61.31,56.69,63.07,63.58,52.17,51.94,53.64,51.04,56.92,60.73,58.51
무도 유흥 주점업,60.61,63.64,67.71,60,71.43,52,62.93,60.78,51.85,54.46,52.27,50,52.87,56.73,52.01
생맥주 전문점,58.97,58.97,58.97,58.97,66.27,67.58,67.76,65.19,53.12,57.59,53.73,52.03,54.71,57.3,53.45
기타 주점업,64.69,64.69,64.69,64.69,65.36,64.94,63.4,65.16,52.93,58.68,54.61,52.58,58.74,59.53,56.6
비알콜 음료소계,84.19,80.16,80.71,76.37,78.27,76.99,75.64,76.2,57.93,61.65,57.54,56.14,71.61,75.39,72.33
커피 전문점,71.96,71.96,71.96,71.96,82.64,82.05,81.47,81.51,58.72,63.9,58.52,57.37,73.96,77.45,74.04
기타 비알콜 음료점업,71.96,71.96,71.96,71.96,82.64,82.05,81.47,81.51,58.72,63.9,58.52,57.37,73.96,77.45,74.04
